# iconFromItemPrefab	researchItemID	displayName	description	requiredResearchIDs	researchRecipeRequirements	gatedItemPrefabIDs	tier	category	devComment
DragonTear	researchArtisanUpgrade1	Artisan Press		researchPickaxeTier4	Bloodbag:3|LoxPelt:6|Sap:5	piece_artisanstation	10	Progression	Tier 10 to Tier 11
Eitr	researchGaldrTable	Galdr Table		researchEitrRefinery	RoundLog:10|Softtissue:8	piece_magetable	10	Useful	
Eitr	researchGaldrTableUpgrade1	Galdr Table Upgrade 1		researchGaldrTable	Wisp:5	piece_magetable_ext2	10	Useful	
Eitr	researchGaldrTableUpgrade2	Galdr Table Upgrade 2		researchGaldrTableUpgrade1	Finewood:1|BlackMarble:3	piece_magetable_ext	10	Useful	
CapeFeather	researchCapeTier6	Cape Tier 6		researchCapeTier5|researchGaldrTable	Raspberry:5|Softtissue:9	CapeFeather	10	Useful	
HelmetMage	researchEitrArmor	Eitr Armor		researchGaldrTable	RoundLog:2|Mandible:4|BlackMarble:8	HelmetMage|ArmorMageChest|ArmorMageLegs	10	Useful	
AxeJotunBane	researchAxeTier5	Axes Tier 5		researchBlackForge|researchEitrRefinery	BlackMarble:5	AxeJotunBane	10	Useful	
BattleaxeSkullSplittur	researchBattleaxeTier4	Battleaxes Tier 4		researchBattleaxeTier3|researchEitrRefinery	Resin:9|BlackMarble:2|Eitr:10	BattleaxeSkullSplittur	10	Useful	
SledgeDemolisher	researchSledgehammerTier3	Sledgehammers Tier 3		researchSledgehammerTier2|researchBlackForge|researchEitrRefinery	Ectoplasm:8|Root:8|BlackMarble:8	SledgeDemolisher	10	Useful	
SwordMistwalker	researchBladesTier6	Blades Tier 6		researchBladesTier5|researchEitrRefinery|researchBlackForge	FreezeGland:2|Softtissue:5	SwordMistwalker	10	Useful	
AtgeirHimminAfl	researchPolearmsTier4	Polearms Tier 4		researchPolearmsTier3|researchBlackForge|researchEitrRefinery	Wood:9|TrollHide:7|Eitr:3	AtgeirHimminAfl	10	Useful	
BowSpineSnap	researchBowsTier5	Bows Tier 5		researchBowsTier4|researchBlackForge|researchEitrRefinery	BjornPaw:6|Flax:8|Eitr:5	BowSpineSnap	10	Useful	
StaffIceShards	researchElementalMagicTier1	Elemental Magic Tier 1		researchGaldrTable	TinOre:9|Eitr:8	StaffIceShards|StaffFireball	10	Useful	Frost and Ember
StaffShield	reserachBloodMagicTier1	Blood Magic Tier 1		researchGaldrTable	LoxPelt:2|BlackMarble:9	StaffShield|StaffSkeleton	10	Useful	Protection and Dead raiser
TrinketCarapaceEitr	researchTrinketTier5	Trinkets Tier 5		researchTrinketTier4|researchBlackForge|researchEitrRefinery	Wisp:4	TrinketCarapaceEitr|TrinketScaleStaminaDamage	10	Useful	
ShieldCarapace	researchShieldTier5	Shields Tier 5		researchShieldTier4|researchBlackForge|researchEitrRefinery	BjornHide:1|RoundLog:8|Softtissue:10	ShieldCarapace	10	Useful	
ShieldCarapaceBuckler	researchBucklerTier3	Bucklers Tier 3		researchBucklerTier2|researchBlackForge|researchEitrRefinery	Sap:3	ShieldCarapaceBuckler	10	Useful	
BlackCore	researchBlackForgeUpgrade3	Black Forge Upgrade 3		researchBlackForgeUpgrade2|researchBoatTier4	Finewood:4|Sap:5|AsksvinCarrionPelvic:8	blackforge_ext2_vise	11	Useful	
BlackCore	researchBlackForgeUpgrade4	Black Forge Upgrade 4		researchBlackForgeUpgrade3	Honey:8|RoundLog:1|AsksvinCarrionNeck:9	blackforge_ext4_gemcutter	11	Useful	
Eitr	researchGaldrTableUpgrade3	Galdr Table Upgrade 3		researchGaldrTableUpgrade2|researchBoatTier4	LeatherScraps:10|RoundLog:8|CharredBone:3	piece_magetable_ext3	11	Useful	
CapeAsksvin	researchCapeTier7	Cape Tier 7		researchCapeTier6|researchBoatTier4|researchGaldrTableUpgrade1	RoundLog:5|AskHide:10	CapeAsksvin	11	Useful	
CapeAsh	researchCapeTier8	Cape Tier 8		researchCapeTier7|researchBlackForgeUpgrade2	Fiddleheadfern:6	CapeAsh	11	Useful	
HelmetAshlandsMediumHood	researchAskArmor	Ask Armor		researchBoatTier4	Fiddleheadfern:5	HelmetAshlandsMediumHood|ArmorAshlandsMediumChest|ArmorAshlandsMediumlegs	11	Useful	
HelmetMage_Ashlands	researchEmblaArmor	Embla Armor		researchBoatTier4|researchGaldrTableUpgrade1	MorgenHeart:8	HelmetMage_Ashlands|ArmorMageChest_Ashlands|ArmorMageLegs_Ashlands	11	Useful	
HelmetFlametal	researchFlametalArmor	Flametal Armor		researchBoatTier4|researchBlackForgeUpgrade2	RoundLog:5|JuteRed:8|MorgenHeart:2	HelmetFlametal|ArmorFlametalChest|ArmorFlametalLegs	11	Useful	
AxeBerzerkr	researchBattleaxeTier5	Battleaxes Tier 5		researchBattleaxeTier4|researchBlackForgeUpgrade2|researchBoatTier4	AsksvinCarrionRibcage:2	AxeBerzerkr	11	Useful	
AxeBerzerkrBlood	researchBattleaxeTier6	Battleaxes Tier 6		researchBattleaxeTier5|researchSiege|researchBlackForgeUpgrade3	AskHide:7	AxeBerzerkrBlood|AxeBerzerkrLightning|AxeBerzerkrNature	11	Useful	
MaceEldner	researchClubTier6	Clubs Tier 6		researchClubTier5|researchBlackForgeUpgrade2|researchBoatTier4	Guck:2|MorgenHeart:6	MaceEldner	11	Useful	
MaceEldnerBlood	researchClubTier7	Clubs Tier 7		researchClubTier6|researchSiege|researchBlackForgeUpgrade3	Bloodbag:8|FlametalNew:3	MaceEldnerBlood|MaceEldnerLightning|MaceEldnerNature	11	Useful	
SwordNiedhogg	researchBladesTier7	Blades Tier 7		researchBladesTier6|researchBlackForgeUpgrade2|researchBoatTier4	BjornPaw:10|CopperOre:9|AsksvinCarrionSkull:1	SwordNiedhogg	11	Useful	
SwordDyrnwyn	researchBladesTier8	Blades Tier 8		researchBladesTier7|researchSiege|researchBlackForgeUpgrade3	Copper:18|MushroomSmokePuff:3	SwordDyrnwyn|SwordNiedhoggBlood|SwordNiedhoggLightning|SwordNiedhoggNature	11	Useful	
THSwordSlayer	researchLongBladesTier2	Long Blades Tier 2		researchLongBladesTier1|researchBlackForgeUpgrade2|researchBoatTier4	RoundLog:5|Vineberry:9	THSwordSlayer	11	Useful	
THSwordSlayerLightning	researchLongBladesTier3	Long Blades Tier 3		researchLongBladesTier2|researchSiege|researchBlackForgeUpgrade3	TrollHide:10|ProustitePowder:8	THSwordSlayerBlood|THSwordSlayerLightning|THSwordSlayerNature	11	Useful	
SpearSplitner	researchSpearTier6	Spears Tier 6		researchSpearTier5|researchBlackForgeUpgrade2|researchBoatTier4	MushroomSmokePuff:2	SpearSplitner	11	Useful	
SpearSplitner_Nature	researchSpearTier7	Spears Tier 7		researchSpearTier6|researchSiege|researchBlackForgeUpgrade3	Tin:2|Softtissue:2|Vineberry:9	SpearSplitner_Blood|SpearSplitner_Lightning|SpearSplitner_Nature	11	Useful	
BowAshlands	researchBowsTier6	Bows Tier 6		researchBowsTier5|researchBlackForgeUpgrade2|researchBoatTier4	Dandelion:2|AskBladder:4	BowAshlands	11	Useful	
BowAshlandsRoot	researchBowsTier7	Bows Tier 7		researchBowsTier6|researchSiege|researchBlackForgeUpgrade3	Crystal:3|BonemawSerpentTooth:6|MushroomSmokePuff:7	BowAshlandsBlood|BowAshlandsStorm|BowAshlandsRoot	11	Useful	
ArrowCharred	researchArrowsTier11	Arrows Tier 11		researchArrowsTier10|researchBoatTier4	Entrails:9|Crystal:4|ProustitePowder:4	ArrowCharred	11	Useful	
CrossbowRipper	researchCrossbowsTier2	Crossbows Tier 2		researchCrossbowsTier1|researchBlackForgeUpgrade2|researchBoatTier4	BonemawSerpentTooth:9	CrossbowRipper	11	Useful	
CrossbowRipperNature	researchCrossbowsTier3	Crossbows Tier 3		researchCrossbowsTier2|researchSiege|researchBlackForgeUpgrade3	CopperOre:2|AsksvinCarrionRibcage:1	CrossbowRipperBlood|CrossbowRipperLightning|CrossbowRipperNature	11	Useful	
BoltCharred	researchBoltsTier4	Bolts Tier 4		researchBoltsTier3|researchBoatTier4	Iron:10|Softtissue:9|AskHide:4	BoltCharred	11	Useful	
StaffClusterbomb	researchElementalMagicTier2	Elemental Magic Tier 2		researchElementalMagicTier1|researchBoatTier4|researchGaldrTableUpgrade1	ElderBark:5|LoxPelt:1|Vineberry:7	StaffClusterbomb	11	Useful	Fracturing
StaffGreenRoots	researchElementalMagicTier3	Elemental Magic Tier 3		researchElementalMagicTier2|researchSiege	Pot_Shard_Green:7	StaffGreenRoots|StaffLightning	11	Useful	Dundr and Wild
StaffRedTroll	researchBloodMagicTier2	Blood Magic Tier 2		reserachBloodMagicTier1|researchSiege	Obsidian:10|AsksvinCarrionSkull:5|CharredBone:4	StaffRedTroll	11	Useful	Trollstav
Catapult_ammo	researchSiege	Siege		researchBoatTier4	MushroomSmokePuff:8	Catapult_ammo|Catapult|BatteringRam	11	Useful	
TrinketFlametalStaminaHealth	researchTrinketTier6	Trinkets Tier 6		researchTrinketTier5|researchBoatTier4	TurnipSeeds:6|BlackMarble:7|AsksvinCarrionNeck:4	TrinketFlametalStaminaHealth|TrinketFlametalEitr	11	Useful	
Blackwood	researchAshwoodFloor	Ashwood Floors		researchBoatTier4	Copper:6|SulfurStone:5	ashwood_floor_2x2|ashwood_floor_1x1|ashwood_deco_floor	11	Filler	ASHLAND PIECES
Blackwood	researchAshwoodWalls	Ashwood Walls		researchBoatTier4	Barley:7|Softtissue:1|MorgenHeart:10	ashwood_wall_2x2|ashwood_halfwall_1x2|ashwood_quarterwall_1x1|ashwood_wall_arch|ashwood_wall_beam_26|ashwood_wall_cross_26|ashwood_wall_beam_45|ashwood_wall_cross_45|ashwood_wall_roof_26|ashwood_wall_roof_26_upsidedown|ashwood_wall_roof_45|ashwood_wall_roof_45_upsidedown	11	Filler	
Blackwood	researchAshwoodDecoration	Ashwood Decorations		researchBoatTier4	Finewood:2|SilverNecklace:1|MoltenCore:8	ashwood_decowall_2x2|ashwood_decowall_tree|ashwood_decowall_divider|ashwood_arch_big	11	Filler	
Blackwood	researchAshwoodBeams	Ashwood Beams		researchBoatTier4	Finewood:4|AskBladder:7	ashwood_beam_1m|ashwood_beam_2m|ashwood_pole_1m|ashwood_pole_2m	11	Filler	
Blackwood	researchAshwoodStairs	Ashwood Stairs		researchBoatTier4	RoundLog:1|CharcoalResin:10	ashwood_stair	11	Filler	
Blackwood	researchAshwoodDoors	Ashwood Doors		researchBoatTier4	Wood:2|Pot_Shard_Green:6	ashwood_door	11	Filler	
MoltenCore	researchTransportationTier3	Transportation Tier 3		researchTransportationTier2|researchBoatTier4	Crystal:4|AsksvinCarrionPelvic:9	portal_stone	11	Useful	
MarinatedGreens	researchCauldronUpgrade5	Cauldron Upgrade 5		researchCauldronUpgrade4|researchBoatTier4	Guck:1|GiantBloodSack:3|FlametalNew:1	cauldron_ext6_rollingpins	11	Useful	
Wood	researchBedTier3	Bed Tier 3		researchBedTier2|researchBoatTier4	LoxPelt:8|Needle:10|MushroomSmokePuff:10	ashwood_bed	11	Useful	
ShieldFlametal	researchShieldTier6	Shields Tier 6		researchShieldTier5|researchBoatTier4	Softtissue:9|CharredBone:5	ShieldFlametal	11	Useful	
ShieldFlametalTower	researchTowerShieldTier4	Tower Shields Tier 4		researchTowerShieldTier3|researchBoatTier4	Tin:2|TinOre:5|BonemawSerpentTooth:4	ShieldFlametalTower	11	Useful	
